2018_rank,city            ,state               ,2018_population_est,location               ,state_abbrev,latitude          ,longitude
117      ,Yonkers         ,New York            ,199663             ,40.9459°N 73.8674°W    ,NY          ,40.9459           ,-73.8674
118      ,Aurora          ,Illinois            ,199602             ,41.7635°N 88.2901°W    ,IL          ,41.7635           ,-88.2901
119      ,Montgomery      ,Alabama             ,198218             ,32.3472°N 86.2661°W    ,AL          ,32.3472           ,-86.2661
120      ,Akron           ,Ohio                ,198006             ,41.0805°N 81.5214°W    ,OH          ,41.0805           ,-81.5214
121      ,Little Rock     ,Arkansas            ,197881             ,34.7254°N 92.3586°W    ,AR          ,34.7254           ,-92.3586
122      ,Huntsville      ,Alabama             ,197318             ,34.6990°N 86.6730°W    ,AL          ,34.699            ,-86.67299999999999
123      ,Augusta         ,Georgia             ,196939             ,33.3655°N 82.0734°W    ,GA          ,33.3655           ,-82.0734
124      ,Port St. Lucie  ,Florida             ,195248             ,27.2806°N 80.3883°W    ,FL          ,27.2806           ,-80.3883
125      ,Grand Prairie   ,Texas               ,194614             ,32.6869°N 97.0211°W    ,TX          ,32.6869           ,-97.0211
126      ,Columbus        ,Georgia             ,194160             ,32.5102°N 84.8749°W    ,GA          ,32.5102           ,-84.8749
127      ,Tallahassee     ,Florida             ,193551             ,30.4551°N 84.2534°W    ,FL          ,30.4551           ,-84.2534
128      ,Overland Park   ,Kansas              ,192536             ,38.8890°N 94.6906°W    ,KS          ,38.889            ,-94.6906
129      ,Tempe           ,Arizona             ,192364             ,33.3884°N 111.9318°W   ,AZ          ,33.3884           ,-111.9318
130      ,McKinney        ,Texas               ,191645             ,33.1985°N 96.6680°W    ,TX          ,33.1985           ,-96.66799999999999
131      ,Mobile          ,Alabama             ,189572             ,30.6684°N 88.1002°W    ,AL          ,30.6684           ,-88.1002
132      ,Cape Coral      ,Florida             ,189343             ,26.6432°N 81.9974°W    ,FL          ,26.6432           ,-81.9974
133      ,Shreveport      ,Louisiana           ,188987             ,32.4669°N 93.7922°W    ,LA          ,32.4669           ,-93.7922
134      ,Frisco          ,Texas               ,188170             ,33.1554°N 96.8226°W    ,TX          ,33.1554           ,-96.8226
135      ,Knoxville       ,Tennessee           ,187500             ,35.9707°N 83.9493°W    ,TN          ,35.9707           ,-83.9493
136      ,Worcester       ,Massachusetts       ,185877             ,42.2695°N 71.8078°W    ,MA          ,42.2695           ,-71.8078
137      ,Brownsville     ,Texas               ,183392             ,25.9991°N 97.4550°W    ,TX          ,25.9991           ,-97.455
138      ,Vancouver       ,Washington          ,183012             ,45.6349°N 122.5957°W   ,WA          ,45.6349           ,-122.5957
139      ,Fort Lauderdale ,Florida             ,182595             ,26.1412°N 80.1467°W    ,FL          ,26.1412           ,-80.1467
140      ,Sioux Falls     ,South Dakota        ,181883             ,43.5383°N 96.7320°W    ,SD          ,43.5383           ,-96.73200000000001
141      ,Ontario         ,California          ,181107             ,34.0394°N 117.6042°W   ,CA          ,34.0394           ,-117.6042
142      ,Chattanooga     ,Tennessee           ,180557             ,35.0660°N 85.2484°W    ,TN          ,35.066            ,-85.2484
143      ,Providence      ,Rhode Island        ,179335             ,41.8231°N 71.4188°W    ,RI          ,41.8231           ,-71.4188
144      ,Newport News    ,Virginia            ,178626             ,37.0762°N 76.5220°W    ,VA          ,37.0762           ,-76.52199999999999
145      ,Rancho Cucamonga,California          ,177751             ,34.1233°N 117.5642°W   ,CA          ,34.1233           ,-117.5642
146      ,Santa Rosa      ,California          ,177586             ,38.4468°N 122.7061°W   ,CA          ,38.4468           ,-122.7061
147      ,Oceanside       ,California          ,176080             ,33.2245°N 117.3062°W   ,CA          ,33.2245           ,-117.3062
