2018_rank,city            ,state               ,2018_population_est,location               ,state_abbrev,latitude          ,longitude
304      ,Renton          ,Washington          ,102153             ,47.4761°N 122.1920°W   ,WA          ,47.4761           ,-122.19200000000001
305      ,Davenport       ,Iowa                ,102085             ,41.5541°N 90.6040°W    ,IA          ,41.5541           ,-90.604
306      ,South Bend      ,Indiana             ,101860             ,41.6769°N 86.2690°W    ,IN          ,41.6769           ,-86.26899999999999
307      ,Vista           ,California          ,101224             ,33.1895°N 117.2386°W   ,CA          ,33.1895           ,-117.2386
308      ,Tuscaloosa      ,Alabama             ,101113             ,33.2065°N 87.5346°W    ,AL          ,33.2065           ,-87.5346
309      ,Clinton         ,Michigan            ,100800             ,42.5903°N 82.9170°W    ,MI          ,42.5903           ,-82.917
310      ,Edison          ,New Jersey          ,100693             ,40.5040°N 74.3494°W    ,NJ          ,40.504            ,-74.3494
311      ,Woodbridge      ,New Jersey          ,100450             ,40.5607°N 74.2927°W    ,NJ          ,40.5607           ,-74.2927
312      ,San Angelo      ,Texas               ,100215             ,31.4411°N 100.4505°W   ,TX          ,31.4411           ,-100.4505
313      ,Kenosha         ,Wisconsin           ,100164             ,42.5822°N 87.8456°W    ,WI          ,42.5822           ,-87.8456
314      ,Vacaville       ,California          ,100154             ,38.3539°N 121.9728°W   ,CA          ,38.3539           ,-121.9728
